node_id,name,display_name,country_name,facility_type,lat,lon,place
facility::dba09930ba6e,LGES Seoul Headquarter,Headquarter,South Korea,Cathode producer,37.52675793172897,126.92713998639883,"Yeouido-dong, Yeongdeungpo District, Seoul, South Korea"
facility::dc5aa35c5d36,Dadong,Electric car plant,China,Electric car producer,41.8455888,123.5256685,Dadong_-_Shengyang_-_Lioning_-_China
facility::dd9c43b80812,Mine,Mine,Democratic Republic of the Congo,,-11.0956079,26.1759781,"Kambove, Haut-Katanga"
facility::de283113119a,LGES Wuxi,Cathode plant,China,Cathode producer,31.5407608,120.3553577,"Xinwu, Wuxi, Jiangsu, China"
facility::df2503f9b04d,Headquarter,Headquarter,China,Electric car producer,30.27208655,119.9619394,"Room 606, Building A6, Cainiao Zhigu Industrial Park, No. 2-150 Yunlian Road, Yuhang Street, Yuhang District, Hangzhou"
facility::df397c4c4b72,Headquarter,Headquarter,United Arab Emirates,Commodity trader,24.983602749562074,55.09387916138412,"Dubai, United Arab Emirates"
facility::e0062fcb7ab1,Dar es Salaam,Warehouse,Tanzania,Commodity trader,-6.834756303,39.23761078,Dar es Salaam_-_Dar es Salaam_-_Tanzania
facility::e094bb7d5c7e,China Headquarter,Headquarter,China,Precursor producer,28.93748873424916,118.88462569627421,Quzhou Green Industry Clustering District
facility::e14208acc005,Headquarter,Headquarter,USA,Electric car producer,37.47071104,-121.9371853,"48016 Fremont Blvd, Fremont, CA 94538, United States"
facility::e201153d9994,Headquarter,Headquarter,France,Electric car producer,48.83153099455228,2.228313535397365,"13 /15 Quai Alphonse le Gallo, 92100 Boulogne-Billancourt, France"
facility::e2109571f3c5,Hong Kong Headquarter,Headquarter,Hong Kong,Commodity trader,22.28669,114.192,"Causeway Bay, Hong Kong"
facility::e505f5cd30b8,Komárom,Battery Cell Plant,Hungary,Battery producer,47.7388648,8.0643392,Komárom_-_Komárom-Esztergom County_-_Hungary
facility::e50a7a902592,SK Battery America,Battery Cell Plant,USA,Battery producer,34.239378,-83.483446,Jackson County_-_Georgia_-_USA
facility::e659938bf277,Headquarter,Headquarter,Germany,Battery producer,48.78612105,9.06340681,"Robert-Bosch-Platz 1,70839 Gerlingen-Schillerhöhe, Germany"
facility::e7b90f709345,Daegu,Cathode plant,South Korea,Cathode producer,35.826254,128.5156295,Dalseo-Gu_-_Daegu_-_South Korea
facility::e8c12ea5567e,Rubamin Main Facility,Rubamin Main Facility,Democratic Republic of the Congo,,-10.953065795960349,26.65482656755261,"26-27, Route Kambove, Commune de Panda, Likasi, Haut-Katanga, DR Congo"
facility::e989062c404a,Suwon Headquarter,Headquarter,South Korea,,37.257286788889395,127.05209108516446,"129 Samsung-ro, Yeongtong-gu, Suwon"
facility::ea3ee8b44f18,LGES Seoul Headquarter,Battery cell plant,South Korea,Battery producer,37.52675793172897,126.92713998639883,"Yeouido-dong, Yeongdeungpo District, Seoul, South Korea"
facility::ea92458b6145,Headquarter,Headquarter,Hong Kong,,22.27862957370601,114.17765016351262,"FLAT/RM A 12/F, ZJ 300, 300 Lockhart Rd, Wan Chai, Hong Kong"
facility::eaa2f4141329,Headquarter,Headquarter,Zimbabwe,,-17.832873288639544,31.085582404891024,"MMCZ Building, 90 Mutare Road, MMCZ Building, Msasa, Harare, Zimbabwe"
facility::eacba90aa737,Ningde Headquarter,Battery cell plant,China,,26.7332864,119.5645726,Ningde_-_Fujian China
facility::ed22d9dd3a3f,Headquarter,Headquarter,United Kingdom,,51.51674104144608,-0.13882351809486845,"31-32 Eastcastle St, London W1W 8DN"
facility::ed3197a805f7,Ningde Headquarter,Headquarter,China,Battery producer,26.7332864,119.5645726,Ningde_-_Fujian_-_China
facility::ed356534fe9a,Headquarter,Headquarter,Canada,Electric car producer,49.25856051,-122.9850167,"5491 Regent St unit 303 Burnaby, BC V5C 6C8"
facility::ee2d96164de1,Headquarter,Headquarter,UK,,51.724733999944284,-0.031635606172405295,"14 Ottawa Court, Broxbourne, Hertfordshire, EN10 6FL, UK"
facility::ee48d6760eff,Headquarter,Headquarter,China,Commodity trader,39.93872426,116.42619886,"No 1, Dongzhimen South Street Raffles City Beijing Office Tower Dongcheng District Beijing , 100007"
facility::ee70cb9c4db9,BYD Headquarter,Battery cell plant,China,Battery producer,22.6792536,114.3588666,Pingshan_-_Shenzen_-_Guangdong_-_China
facility::ef440e784f26,Headquarter,Headquarter,Hong Kong,Commodity trader,22.278537399849885,114.16921628827086,"12th Floor, 3 Lockhart Road, Wan Chai, Hong Kong"
facility::ef7a9d2f5985,Anting,Automobile Plant,China,Battery producer,31.2945845,121.1806224,Anting_-_Shanghai_-_China
facility::f0ba7f071f30,Mine,Mine,Democratic Republic of the Congo,,-10.671023292373581,25.35486904048847,"Kolwezi, Lualaba"
facility::f14dc3f87caa,Missouri Cobalt,Refinery,United States,,38.00968947270487,-90.40103428272784,"1050 Madison 263, Fredericktown, MO 63645"
facility::f1c7d6cb53a3,Mine,Mine,Democratic Republic of the Congo,,-10.6628,25.5704,Luilu
facility::f26aa83d21c3,LGES Ochang Energy Plant,Battery cell plant,South Korea,Battery producer,36.6957236,127.4152689,"29 Gwahaksaneop 3-ro, Oksan-myeon, Cheongwon-gun, Chungcheongbuk-do, South Korea"
facility::f2ed5b9113db,Headquarter,Headquarter,Hong Kong,,22.28710831752307,114.15176057092351,"Toi Building, 137-139 Connaught Road Central, Sheung Wan, Hong Kong"
facility::f40abe64dcaa,Electra,Refinery,Canada,Refiner,47.40851311,-79.65961339,Cobalt_-_Ontario_-_Canada
facility::f411bb877c03,Ganzhou,Battery plant,China,,25.8402513,114.8478945,"Jinling West Road, Economic Development Zone, Ganzhou Jiangxi Province, China"
facility::f468196e4a3d,Headquarter,Headquarter,Australia,Electric car producer,-31.95374148,115.8556087,"Level 48, 152-158 St Georges Terrace, Perth, Western Australia 6000, Australia"
