RM name	BHRRC link	ID
LG Chemical (Nanjing) Information Electronic Materials Co., Ltd. / 乐金化学（南京）信息电子材料有限公	https://www.business-humanrights.org/en/companies/lg-chem/	761127
LG Energy Solution (LGES)	https://www.business-humanrights.org/en/companies/lg-chem/	761127
LG Energy Solution (LGES) (LGES)	#N/A	
L-H Battery Company, Inc.		
Li-Cycle Holdings Corp		
Lime / Neutron Holdings, Inc.	https://www.business-humanrights.org/en/companies/lime-neutron-holdings/	764344
Lohum Cleantech		
Lualaba Copper Smelter		
Mahindra Group	https://www.business-humanrights.org/en/companies/mahindra-mahindra/	758261
Managem	https://www.business-humanrights.org/en/companies/managem/	943404
Marubeni	https://www.business-humanrights.org/en/companies/marubeni/	758160
Metal Challenge Co.		
Metal Mines Sarl		
Milele		
Minière de Kasombo (MIKAS)	https://www.business-humanrights.org/en/companies/mini%C3%A8re-de-kasombo-mikas/	927047
Miringi		
Mitra Chem		
MMG	https://www.business-humanrights.org/en/companies/minerals-and-metals-group-mmg-part-of-china-minmetals/	760200
Mopani Copper Mines plc	https://www.business-humanrights.org/en/companies/mopani-copper-mines-plc/	894571
Motorino / Greenwit Technologies Inc.		
Murrin Murrin		
Mutanda Mining (MUMI)	https://www.business-humanrights.org/en/companies/mutanda-mining/	927049
Nanjing Hanrui Cobalt Industry (Hong Kong) Co., Ltd.		
Nemaska Lithium		
NETC (New Energy Technology Co. Ltd.)		
Nichia Corporation		
Ningbo Coboto		
Ningbo Ronbay New Energy		
Ningbo Shanshan Co Ltd		
Nissan Motor Co.	https://www.business-humanrights.org/en/companies/nissan/	758507
NIU Technologies		
Norilsk Nickel Harjavalta Oy	https://www.business-humanrights.org/en/companies/norilsk-nickel/	758565
Northvolt	https://www.business-humanrights.org/en/companies/northvolt/	765065
Okai		
OM metal		
Panasonic Corporation	https://www.business-humanrights.org/en/companies/panasonic/	758925
Panasonic Energy Co., Ltd.	https://www.business-humanrights.org/en/companies/panasonic-energy-europe-nv/	907444
Panasonic Group	https://www.business-humanrights.org/en/companies/panasonic/	758925
Peugeot Scooters	https://www.business-humanrights.org/en/companies/peugeot-motor-company-plc/	899485
Phylion Battery Co., Ltd. / Phylion Power / Xingheng Power / Phylion Power Co., Ltd.		
POSCO	https://www.business-humanrights.org/en/companies/posco/	758765
Power China International	https://www.business-humanrights.org/en/companies/power-china-international/	765266
PowerCo		
Pulead Technology Industry Co		
Quzhou Huayou Cobalt New Material Co., Ltd	https://www.business-humanrights.org/en/companies/zhejiang-huayou-cobalt-co-ltd/	911167
Renault Group	https://www.business-humanrights.org/en/companies/renault/	759032
Renault–Nissan–Mitsubishi Alliance		
RiseSun MGL New Energy Technology Co Ltd		
Robert Bosch Stiftung GmbH	https://www.business-humanrights.org/en/companies/robert-bosch-limited/	907136
Ronbay Technology Battery		
Ruashi Mining	https://www.business-humanrights.org/en/companies/ruashi-mines-jv-between-jinchuan-international-and-gecamines/	911179
Rubamin SARL		
SAIC Motor	https://www.business-humanrights.org/en/companies/saic-motor/	765772
Samsung SDI	https://www.business-humanrights.org/en/companies/samsung-sdi-part-of-samsung/	762128
Segway-Ninebot / Nine Robot Co., Ltd.		
Shandong Jinsheng Nonferrous Metals		
Shanshan Co., Ltd.		
SHIDO Battery		
Shituru Mining corporation (SMCO)		
Sicomines	https://www.business-humanrights.org/en/companies/ssicomines-jv-between-china-railways-and-sinohydro/	951587
Singapoure/HC		
Sinohydro Corporation	https://www.business-humanrights.org/en/companies/china-national-water-resources-hydropower-engineering-sinohydro/	759391
SK Battery America	https://www.business-humanrights.org/en/companies/sk-innovation/	762739
SK Innovation	https://www.business-humanrights.org/en/companies/sk-innovation/	762739
Société Minière de Deziwa (SOMIDEZ)		
Stellantis	https://www.business-humanrights.org/en/companies/stellantis/	923359
Stratton Metals Resources		
Sumitomo Metal Mining	https://www.business-humanrights.org/en/companies/sumitomo-metal-mining-part-of-sumitomo-group/	759348
SUN Mobility		
Sungeel Hitech		
Sunwoda Electronic Co Ltd	https://www.business-humanrights.org/en/companies/sunwoda/	938391
SVOLT	https://www.business-humanrights.org/en/companies/svolt/	938389
Telf AG		
Tengyuan Cobalt & Copper Resources (TCC)		
Tengyuan Cobalt Industrial Co.		
Tenke Fungurume Mining (TFM)	https://www.business-humanrights.org/en/companies/tenke-fungurume-joint-venture-china-molybdenum-bhr-partners-g%C3%A9camines/	759738
Terra Motors Corporation		
Tesla Inc.	https://www.business-humanrights.org/en/companies/tesla-motors/	762127
Thomas Mining		
Tianqi Lithium Corvina	https://www.business-humanrights.org/en/companies/tianqi-lithium/	764407
Tinbot Technology GmbH / KOLLTER		
Tongling Nonferrous Metals	https://www.business-humanrights.org/en/companies/tongling-nonferrous-metals/	760554
Toyota Motor Corporation	https://www.business-humanrights.org/en/companies/toyota/	759603
Trafigura Group Pte. Ltd.		
Transamine Trading SA		
TRAXYS	https://www.business-humanrights.org/en/companies/traxys/	759788
Tshipuki		
Ultium CAM		
Ultium Cells LLC	https://www.business-humanrights.org/en/companies/ultium-cells/	947848
Umicore S.A.	https://www.business-humanrights.org/en/companies/umicore/	759834
United States Strategic Metals		
Usine à Cuivre de Kolwezi (Usine à Cuivre de Kolwezi (UCK))		
Vale Canada	https://www.business-humanrights.org/en/companies/vale/	759964
Vale S.A.	https://www.business-humanrights.org/en/companies/vale/	759964
Verkor		
Victor International Trade CO LTD		
Vin Metal Synergies Fzco		
Vmoto Limited		
Vmoto Soco International Limited		
Volkswagen Group	https://www.business-humanrights.org/en/companies/volkswagen/	759890
Volvo Car Group	https://www.business-humanrights.org/en/companies/volvo-car-part-of-geely/	759898
Volvo Group	https://www.business-humanrights.org/en/companies/volvo-group/	759937
Wanbao Mining	https://www.business-humanrights.org/en/companies/wanbao-mining/	760219
Xiamen Tungsten		
Xiamen Tungsten Industry		
Xiaomi	https://www.business-humanrights.org/en/companies/xiaomi/	764233
Xinyang Trading Company		
XTC New Energy Materials		
Yacheng New Energy		
Yadea Group Holdings Ltd.		
Yunnan Copper Hong Kong		
ZCCM Investments Holdings plc	https://www.business-humanrights.org/en/companies/zccm-investments/	765798
Zhangjiagang United Copper		
Zhejiang Jirun Automobile Co., Ltd		
Zhejiang Meidu Haichuang Lithium Battery Technology Co., Ltd.		
Zhejiang Narada / Nandu Power Source Co., Ltd.		
Zhongwei Co., Ltd.,		
Zhuhai Guanyu		
Zhuhai Kelixin Metal Materials Co.,Ltd		
